theta	order	error
0.2	3	5.4999999998806E-06
0.2	3	-1.6800000000039E-05
0.2	3	6.50000000046447E-06
0.2	3	-7.5999999999965E-06
0.2	3	3.20000000009202E-06
0.3	3	-5.99999999906231E-07
0.3	3	3.21999999997047E-05
0.3	3	-9.60000000027605E-06
0.3	3	1.32999999999939E-05
0.3	3	-4.0799999999841E-05
0.5	3	-0.0001359
0.5	3	0.0001964
0.5	3	-0.0001041
0.5	3	0.0001112
0.5	3	0.001248100000001
0.7	3	0.0026276
0.7	3	-0.0088795
0.7	3	0.0025147
0.7	3	-0.0036355
0.7	3	0.014924600000001
0.99	3	0.0139126
0.99	3	-0.0472588
0.99	3	0.0146226
0.99	3	-0.0201715
0.99	3	0.0682611
0.2	5	9.99999998363421E-08
0.2	5	-1.00000000280431E-07
0.2	5	0
0.2	5	-9.99999993922529E-08
0.2	5	1.00000000280431E-07
0.3	5	-1.00000000013978E-06
0.3	5	1.69999999943826E-06
0.3	5	-1.00000000013978E-06
0.3	5	5.99999999906231E-07
0.3	5	-3.50000000004513E-06
0.5	5	-5.8399999999903E-05
0.5	5	0.0001637
0.5	5	-6.10999999999251E-05
0.5	5	6.45999999999702E-05
0.5	5	-0.0002359
0.7	5	0.0003895
0.7	5	-0.0018741
0.7	5	0.0003834
0.7	5	-0.0007328
0.7	5	0.003936700000001
0.99	5	-0.0007542
0.99	5	-0.007257200000001
0.99	5	0.0006361
0.99	5	-0.0015387
0.99	5	0.0471553
0.2	7	0
0.2	7	0
0.2	7	0
0.2	7	0
0.2	7	0
0.3	7	0
0.3	7	9.99999993922529E-08
0.3	7	-1.00000000280431E-07
0.3	7	0
0.3	7	-2.99999999953116E-07
0.5	7	-1.90999999998276E-05
0.5	7	5.86000000000197E-05
0.5	7	-2.04999999997568E-05
0.5	7	2.46999999999886E-05
0.5	7	-8.11000000000561E-05
0.7	7	-5.91000000000896E-05
0.7	7	0.000315
0.7	7	-4.0799999999841E-05
0.7	7	0.0001219
0.7	7	-0.0005318
0.99	7	-0.0057261
0.99	7	0.0068937
0.99	7	-0.0050581
0.99	7	0.0042536
0.99	7	0.0121766
